Year,Month,Data source,PortRoute,Region,ArriveDepart,UnSamp_Total
2017,1,Unsampled,151,10,1,0
2017,1,Unsampled,151,10,1,3353
2017,1,Unsampled,151,2,1,3829
2017,1,Unsampled,151,7,1,0
2017,1,Unsampled,151,7,1,0
2017,1,Unsampled,151,7,1,0
2017,1,Unsampled,151,7,1,0
2017,1,Unsampled,151,7,1,3146
2017,1,Unsampled,151,7,1,0
2017,1,Unsampled,151,3,1,173
2017,1,Unsampled,151,6,1,13384
2017,1,Unsampled,191,4,1,2542
2017,1,Unsampled,191,3,1,293
2017,1,Unsampled,191,4,1,2645
2017,1,Unsampled,191,1,1,349
2017,1,Unsampled,191,1,1,3485
2017,1,Unsampled,191,1,1,272
2017,1,Unsampled,191,1,1,282
2017,1,Unsampled,191,1,1,409
2017,1,Unsampled,191,1,1,883
2017,1,Unsampled,191,1,1,275
2017,1,Unsampled,191,1,1,2278
2017,1,Unsampled,191,1,1,136
2017,1,Unsampled,191,1,1,0
2017,1,Unsampled,191,1,1,1362
2017,1,Unsampled,191,1,1,1622
2017,1,Unsampled,191,1,1,453
2017,1,Unsampled,191,1,1,1321
2017,1,Unsampled,191,1,1,171
2017,1,Unsampled,191,1,1,0
2017,1,Unsampled,191,1,1,0
2017,1,Unsampled,191,1,1,290
2017,1,Unsampled,191,1,1,0
2017,1,Unsampled,191,1,1,0
2017,1,Unsampled,191,1,1,182
2017,1,Unsampled,191,1,1,4213
2017,1,Unsampled,191,9,1,2022
2017,1,Unsampled,191,9,1,170
2017,1,Unsampled,191,9,1,3288
2017,1,Unsampled,191,9,1,0
2017,1,Unsampled,191,9,1,898
2017,1,Unsampled,191,9,1,956
2017,1,Unsampled,191,9,1,1191
2017,1,Unsampled,191,9,1,5185
2017,1,Unsampled,191,9,1,891
2017,1,Unsampled,191,9,1,3009
2017,1,Unsampled,191,9,1,2676
2017,1,Unsampled,191,9,1,3357
2017,1,Unsampled,191,9,1,5515
2017,1,Unsampled,191,9,1,642
2017,1,Unsampled,191,9,1,3208
2017,1,Unsampled,191,9,1,1973
2017,1,Unsampled,191,9,1,2353
2017,1,Unsampled,191,9,1,743
2017,1,Unsampled,191,4,1,2946
2017,1,Unsampled,191,4,1,1464
2017,1,Unsampled,191,1,1,1298
2017,1,Unsampled,191,1,1,124
2017,1,Unsampled,191,1,1,0
2017,1,Unsampled,191,1,1,2852
2017,1,Unsampled,191,1,1,1010
2017,1,Unsampled,191,1,1,0
2017,1,Unsampled,191,1,1,450
2017,1,Unsampled,191,1,1,438
2017,1,Unsampled,191,1,1,3957
2017,1,Unsampled,191,1,1,959
2017,1,Unsampled,191,1,1,149
2017,1,Unsampled,191,1,1,1172
2017,1,Unsampled,191,1,1,996
2017,1,Unsampled,191,1,1,975
2017,1,Unsampled,191,1,1,1990
2017,1,Unsampled,191,8,1,1387
2017,1,Unsampled,191,10,1,2769
2017,1,Unsampled,191,10,1,413
2017,1,Unsampled,191,10,1,317
2017,1,Unsampled,191,4,1,2881
2017,1,Unsampled,191,4,1,510
2017,1,Unsampled,191,4,1,1731
2017,1,Unsampled,191,4,1,486
2017,1,Unsampled,191,7,1,1018
2017,1,Unsampled,191,7,1,8204
2017,1,Unsampled,191,7,1,1476
2017,1,Unsampled,191,7,1,344
2017,1,Unsampled,191,7,1,1387
2017,1,Unsampled,191,7,1,0
2017,1,Unsampled,191,7,1,0
2017,1,Unsampled,191,3,1,220
2017,1,Unsampled,181,4,1,2158
2017,1,Unsampled,181,4,1,671
2017,1,Unsampled,181,4,1,449
2017,1,Unsampled,181,4,1,3411
2017,1,Unsampled,181,1,1,717
2017,1,Unsampled,181,1,1,425
2017,1,Unsampled,181,1,1,103
2017,1,Unsampled,181,1,1,1352
2017,1,Unsampled,181,1,1,0
2017,1,Unsampled,181,1,1,0
2017,1,Unsampled,181,1,1,119
2017,1,Unsampled,181,1,1,969
2017,1,Unsampled,181,1,1,0
2017,1,Unsampled,181,1,1,3622
2017,1,Unsampled,181,1,1,1895
2017,1,Unsampled,181,1,1,1671
2017,1,Unsampled,181,1,1,0
2017,1,Unsampled,181,1,1,0
2017,1,Unsampled,181,1,1,905
2017,1,Unsampled,181,1,1,572
2017,1,Unsampled,181,1,1,1296
2017,1,Unsampled,181,1,1,1279
2017,1,Unsampled,181,1,1,81
2017,1,Unsampled,181,1,1,170
2017,1,Unsampled,181,1,1,306
2017,1,Unsampled,181,1,1,89
2017,1,Unsampled,181,1,1,0
2017,1,Unsampled,181,1,1,3091
2017,1,Unsampled,181,1,1,68
2017,1,Unsampled,181,1,1,0
2017,1,Unsampled,181,1,1,0
2017,1,Unsampled,181,1,1,833
2017,1,Unsampled,181,9,1,1007
2017,1,Unsampled,181,9,1,132
2017,1,Unsampled,181,9,1,773
2017,1,Unsampled,181,9,1,0
2017,1,Unsampled,181,9,1,874
2017,1,Unsampled,181,9,1,2103
2017,1,Unsampled,181,1,1,0
2017,1,Unsampled,181,9,1,474
2017,1,Unsampled,181,9,1,2800
2017,1,Unsampled,181,9,1,165
2017,1,Unsampled,181,9,1,1420
2017,1,Unsampled,181,9,1,1546
2017,1,Unsampled,181,9,1,2270
2017,1,Unsampled,181,9,1,2738
2017,1,Unsampled,181,9,1,1539
2017,1,Unsampled,181,9,1,530
2017,1,Unsampled,181,9,1,324
2017,1,Unsampled,181,9,1,1382
2017,1,Unsampled,181,4,1,194
2017,1,Unsampled,181,1,1,1171
2017,1,Unsampled,181,1,1,0
2017,1,Unsampled,181,1,1,3639
2017,1,Unsampled,181,1,1,1728
2017,1,Unsampled,181,1,1,0
