Year,Month,Datasource,Portroute,Arrivedepart,Traffictotal,Periodstart,Periodend,AM_PM_night,Haul
2017,3,Air,391,1,27314,,,,L
2017,3,Air,401,1,10,,,,L
2017,3,Air,411,1,1591,,,,L
2017,3,Air,421,1,621,,,,L
2017,3,Air,441,1,11088,,,,L
2017,3,Air,451,1,0,,,,L
2017,3,Air,461,1,0,,,,L
2017,3,Air,471,1,0,,,,L
2017,3,Air,481,1,0,,,,L
2017,3,Air,111,1,0,,,,E
2017,3,Air,121,1,70995,,,,E
2017,3,Air,131,1,0,,,,E
2017,3,Air,141,1,0,,,,E
2017,3,Air,151,1,25910,,,,E
2017,3,Air,181,1,72749,,,,E
2017,3,Air,191,1,0,,,,E
2017,3,Air,201,1,67195,,,,E
2017,3,Air,211,1,19847,,,,E
2017,3,Air,221,1,0,,,,E
2017,3,Air,231,1,31336,,,,E
2017,3,Air,241,1,23301,,,,E
2017,3,Air,311,1,48614,,,,E
2017,3,Air,321,1,0,,,,E
2017,3,Air,331,1,1620,,,,E
2017,3,Air,341,1,0,,,,E
2017,3,Air,351,1,21475,,,,E
2017,3,Air,361,1,7050,,,,E
2017,3,Air,371,1,12631,,,,E
2017,3,Air,381,1,27011,,,,E
2017,3,Air,391,1,21568,,,,E
2017,3,Air,401,1,12357,,,,E
2017,3,Air,411,1,23868,,,,E
2017,3,Air,421,1,21014,,,,E
2017,3,Air,441,1,11739,,,,E
2017,3,Air,451,1,0,,,,E
2017,3,Air,461,1,0,,,,E
2017,3,Air,471,1,1103,,,,E
2017,3,Air,481,1,6962,,,,E
2017,1,Air,111,2,0,,,,S
2017,1,Air,121,2,192552,,,,S
2017,1,Air,131,2,89065,,,,S
2017,1,Air,141,2,75280,,,,S
2017,1,Air,151,2,255195,,,,S
2017,1,Air,181,2,332026,,,,S
2017,1,Air,191,2,428921,,,,S
2017,1,Air,201,2,596175,,,,S
2017,1,Air,211,2,208352,,,,S
2017,1,Air,221,2,60004,,,,S
2017,1,Air,231,2,143216,,,,S
2017,1,Air,241,2,344994,,,,S
2017,1,Air,311,2,215735,,,,S
2017,1,Air,321,2,0,,,,S
2017,1,Air,331,2,26020,,,,S
2017,1,Air,341,2,43723,,,,S
2017,1,Air,351,2,164569,,,,S
2017,1,Air,361,2,19156,,,,S
2017,1,Air,371,2,82126,,,,S
2017,1,Air,381,2,160685,,,,S
2017,1,Air,391,2,94125,,,,S
2017,1,Air,401,2,60123,,,,S
2017,1,Air,411,2,89838,,,,S
