YEAR,MONTH,DATASOURCE,PORTROUTE,WEEKDAY,ARRIVEDEPART,AM_PM_NIGHT,SAMPINTERVAL,MIGTOTAL,ORDTOTAL
2017,1,Non Response,951,2,1,1,0,0,0
2017,1,Non Response,951,1,1,2,0,0,0
2017,1,Non Response,951,2,1,2,0,0,0
2017,1,Non Response,111,1,2,1,0,0,0
2017,1,Non Response,111,2,2,1,0,0,0
2017,1,Non Response,111,1,2,2,0,0,0
2017,1,Non Response,111,2,2,2,0,0,0
2017,1,Non Response,119,1,2,1,0,0,0
2017,1,Non Response,119,2,2,1,0,0,0
2017,1,Non Response,119,1,2,2,0,0,0
2017,1,Non Response,119,2,2,2,0,0,0
2017,1,Non Response,121,1,2,1,0,51,0
2017,1,Non Response,121,2,2,1,0,4,0
2017,1,Non Response,121,1,2,2,0,57,0
2017,1,Non Response,121,2,2,2,0,15,0
2017,1,Non Response,123,1,2,1,0,0,0
2017,1,Non Response,123,2,2,1,0,0,0
2017,1,Non Response,123,1,2,2,0,0,0
2017,1,Non Response,131,1,2,1,0,67,0
2017,1,Non Response,131,2,2,1,0,267,0
2017,1,Non Response,131,1,2,2,0,110,0
2017,1,Non Response,131,2,2,2,0,18,0
2017,1,Non Response,132,1,2,1,0,0,0
2017,1,Non Response,132,2,2,1,0,0,0
2017,1,Non Response,132,1,2,2,0,0,0
2017,1,Non Response,132,2,2,2,0,0,0
2017,1,Non Response,133,1,2,1,0,0,0
2017,1,Non Response,133,2,2,1,0,0,0
2017,1,Non Response,133,1,2,2,0,0,0
2017,1,Non Response,133,2,2,2,0,0,0
2017,1,Non Response,141,1,2,1,0,112,0
2017,1,Non Response,141,2,2,1,0,78,0
2017,1,Non Response,141,1,2,2,0,99,0
2017,1,Non Response,141,2,2,2,0,87,0
2017,1,Non Response,142,1,2,1,0,0,0
2017,1,Non Response,142,2,2,1,0,0,0
2017,1,Non Response,142,1,2,2,0,0,0
2017,1,Non Response,142,2,2,2,0,0,0
2017,1,Non Response,143,1,2,1,0,0,0
2017,1,Non Response,143,2,2,1,0,0,0
2017,1,Non Response,143,1,2,2,0,0,0
2017,1,Non Response,143,2,2,2,0,0,0
2017,1,Non Response,150,1,2,1,0,0,0
2017,1,Non Response,150,2,2,1,0,0,0
2017,1,Non Response,150,1,2,2,0,0,0
2017,1,Non Response,150,2,2,2,0,0,0
2017,1,Non Response,151,1,2,1,0,69,0
2017,1,Non Response,151,2,2,1,0,76,0
2017,1,Non Response,151,1,2,2,0,14,0
2017,1,Non Response,151,2,2,2,0,50,0
2017,1,Non Response,152,1,2,1,0,70,0
2017,1,Non Response,152,2,2,1,0,34,0
2017,1,Non Response,152,1,2,2,0,39,0
2017,1,Non Response,152,2,2,2,0,0,0
2017,1,Non Response,153,1,2,1,0,0,0
2017,1,Non Response,153,2,2,1,0,0,0
2017,1,Non Response,154,1,2,1,0,0,0
2017,1,Non Response,154,2,2,1,0,0,0
2017,1,Non Response,154,2,2,2,0,0,0
2017,1,Non Response,154,1,2,2,0,0,0
2017,1,Non Response,160,1,2,1,0,0,0
2017,1,Non Response,160,2,2,1,0,0,0
2017,1,Non Response,160,1,2,2,0,0,0
2017,1,Non Response,160,2,2,2,0,0,0
2017,1,Non Response,161,1,2,1,0,0,0
2017,1,Non Response,161,2,2,1,0,0,0
2017,1,Non Response,161,1,2,2,0,0,0
2017,1,Non Response,161,2,2,2,0,0,0
2017,1,Non Response,162,1,2,1,0,0,0
2017,1,Non Response,162,2,2,1,0,0,0
2017,1,Non Response,162,1,2,2,0,0,0
2017,1,Non Response,162,2,2,2,0,0,0
2017,1,Non Response,163,1,2,1,0,0,0
2017,1,Non Response,163,2,2,1,0,0,0
2017,1,Non Response,163,1,2,2,0,0,0
2017,1,Non Response,163,2,2,2,0,0,0
2017,1,Non Response,164,1,2,1,0,0,0
2017,1,Non Response,164,2,2,1,0,0,0
2017,1,Non Response,164,1,2,2,0,0,0
2017,1,Non Response,164,2,2,2,0,0,0
2017,1,Non Response,165,1,2,1,0,1,0
2017,1,Non Response,165,2,2,1,0,0,0
2017,1,Non Response,165,1,2,2,0,7,0
2017,1,Non Response,165,2,2,2,0,3,0
2017,1,Non Response,181,1,2,1,0,71,0
2017,1,Non Response,181,2,2,1,0,385,0
2017,1,Non Response,181,1,2,2,0,197,0
2017,1,Non Response,181,2,2,2,0,0,0
2017,1,Non Response,189,1,2,1,0,0,0
2017,1,Non Response,189,2,2,1,0,0,0
2017,1,Non Response,189,1,2,2,0,0,0
2017,1,Non Response,189,2,2,2,0,0,0
2017,1,Non Response,191,1,2,1,0,782,0
2017,1,Non Response,191,2,2,1,0,245,0
2017,1,Non Response,191,1,2,2,0,54,0
2017,1,Non Response,191,2,2,2,0,0,0
2017,1,Non Response,192,1,2,1,0,0,0
2017,1,Non Response,192,2,2,1,0,0,0
2017,1,Non Response,192,1,2,2,0,0,0
2017,1,Non Response,192,2,2,2,0,0,0
2017,1,Non Response,199,1,2,1,0,0,0
2017,1,Non Response,199,2,2,1,0,0,0
2017,1,Non Response,199,1,2,2,0,0,0
2017,1,Non Response,199,2,2,2,0,0,0
2017,1,Non Response,201,1,2,1,0,195,0
2017,1,Non Response,201,2,2,1,0,43,0
2017,1,Non Response,201,1,2,2,0,188,0
2017,1,Non Response,201,2,2,2,0,179,0
2017,1,Non Response,211,1,2,1,0,0,0
2017,1,Non Response,211,2,2,1,0,224,0
2017,1,Non Response,211,1,2,2,0,84,0
2017,1,Non Response,211,2,2,2,0,0,0
2017,1,Non Response,213,1,2,1,0,188,0
2017,1,Non Response,213,2,2,1,0,0,0
2017,1,Non Response,213,1,2,2,0,0,0
2017,1,Non Response,213,2,2,2,0,0,0
2017,1,Non Response,219,1,2,1,0,0,0
2017,1,Non Response,219,2,2,1,0,0,0
2017,1,Non Response,219,1,2,2,0,0,0
2017,1,Non Response,219,2,2,2,0,0,0
2017,1,Non Response,221,1,2,1,0,0,0
2017,1,Non Response,221,2,2,1,0,3,0
2017,1,Non Response,221,1,2,2,0,0,0
2017,1,Non Response,221,2,2,2,0,2,0
2017,1,Non Response,223,1,2,1,0,0,0
2017,1,Non Response,223,1,2,2,0,0,0
2017,1,Non Response,223,2,2,1,0,0,0
2017,1,Non Response,223,2,2,2,0,0,0
2017,1,Non Response,231,1,2,1,0,56,0
2017,1,Non Response,231,2,2,1,0,21,0
2017,1,Non Response,231,1,2,2,0,49,0
2017,1,Non Response,231,2,2,2,0,0,0
2017,1,Non Response,241,1,2,1,0,241,0
2017,1,Non Response,241,2,2,1,0,261,0
2017,1,Non Response,241,1,2,2,0,127,0
2017,1,Non Response,241,2,2,2,0,0,0
2017,1,Non Response,311,1,2,1,0,177,0
2017,1,Non Response,311,2,2,1,0,0,0
2017,1,Non Response,311,1,2,2,0,60,0
2017,1,Non Response,311,2,2,2,0,0,0
2017,1,Non Response,321,1,2,1,0,2,0
2017,1,Non Response,321,2,2,1,0,0,0
2017,1,Non Response,321,1,2,2,0,0,0
2017,1,Non Response,321,2,2,2,0,0,0
2017,1,Non Response,331,1,2,1,0,0,0
2017,1,Non Response,331,2,2,1,0,0,0
2017,1,Non Response,331,1,2,2,0,0,0
2017,1,Non Response,331,2,2,2,0,0,0
2017,1,Non Response,341,1,2,1,0,5,0
2017,1,Non Response,341,2,2,1,0,0,0
2017,1,Non Response,341,1,2,2,0,7,0
2017,1,Non Response,341,2,2,2,0,0,0
2017,1,Non Response,351,1,2,1,0,0,0
2017,1,Non Response,351,2,2,1,0,72,0
2017,1,Non Response,351,1,2,2,0,117,0
2017,1,Non Response,351,2,2,2,0,0,0
2017,1,Non Response,361,1,2,1,0,0,0
2017,1,Non Response,361,2,2,1,0,0,0
2017,1,Non Response,361,1,2,2,0,0,0
2017,1,Non Response,361,2,2,2,0,0,0
2017,1,Non Response,371,1,2,1,0,3,0
2017,1,Non Response,371,2,2,1,0,0,0
2017,1,Non Response,371,1,2,2,0,0,0
2017,1,Non Response,371,2,2,2,0,2,0
2017,1,Non Response,381,1,2,1,0,0,0
2017,1,Non Response,381,2,2,1,0,32,0
2017,1,Non Response,381,1,2,2,0,0,0
2017,1,Non Response,381,2,2,2,0,0,0
2017,1,Non Response,382,1,2,1,0,0,0
2017,1,Non Response,382,2,2,1,0,5,0
2017,1,Non Response,382,1,2,2,0,0,0
2017,1,Non Response,382,2,2,2,0,13,0
2017,1,Non Response,391,1,2,1,0,0,0
2017,1,Non Response,391,2,2,1,0,5,0
2017,1,Non Response,391,1,2,2,0,6,0
2017,1,Non Response,391,2,2,2,0,0,0
2017,1,Non Response,393,1,2,1,0,0,0
2017,1,Non Response,393,1,2,2,0,0,0
2017,1,Non Response,401,1,2,1,0,0,0
2017,1,Non Response,401,2,2,1,0,0,0
2017,1,Non Response,401,1,2,2,0,0,0
2017,1,Non Response,401,2,2,2,0,0,0
2017,1,Non Response,411,1,2,1,0,0,0
2017,1,Non Response,411,2,2,1,0,0,0
2017,1,Non Response,411,1,2,2,0,8,0
2017,1,Non Response,411,2,2,2,0,9,0
2017,1,Non Response,421,1,2,1,0,0,0
2017,1,Non Response,421,2,2,1,0,0,0
2017,1,Non Response,421,1,2,2,0,81,0
2017,1,Non Response,421,2,2,2,0,0,0
2017,1,Non Response,441,1,2,1,0,12,0
2017,1,Non Response,441,2,2,1,0,0,0
2017,1,Non Response,441,1,2,2,0,0,0
2017,1,Non Response,441,2,2,2,0,0,0
2017,1,Non Response,451,1,2,1,0,0,0
2017,1,Non Response,451,2,2,1,0,0,0
2017,1,Non Response,451,1,2,2,0,0,0
2017,1,Non Response,451,2,2,2,0,0,0
2017,1,Non Response,461,1,2,1,0,0,0
2017,1,Non Response,461,2,2,1,0,0,0
2017,1,Non Response,461,1,2,2,0,0,0
2017,1,Non Response,461,2,2,2,0,0,0
2017,1,Non Response,471,1,2,1,0,0,0
2017,1,Non Response,471,2,2,1,0,0,0
2017,1,Non Response,471,1,2,2,0,0,0
2017,1,Non Response,471,2,2,2,0,0,0
2017,1,Non Response,481,1,2,1,0,0,0
2017,1,Non Response,481,2,2,1,0,0,0
2017,1,Non Response,481,1,2,2,0,0,0
2017,1,Non Response,481,2,2,2,0,0,0
2017,1,Non Response,611,1,2,1,0,16,0
2017,1,Non Response,611,2,2,1,0,0,0
2017,1,Non Response,611,1,2,2,0,1,0
2017,1,Non Response,611,2,2,2,0,3,0
2017,1,Non Response,611,1,2,3,0,6,0
2017,1,Non Response,611,2,2,3,0,0,0
2017,1,Non Response,612,1,2,1,0,1,0
2017,1,Non Response,612,2,2,1,0,0,0
2017,1,Non Response,612,1,2,2,0,5,0
2017,1,Non Response,612,2,2,2,0,0,0
2017,1,Non Response,612,1,2,3,0,0,0
2017,1,Non Response,612,2,2,3,0,2,0
2017,1,Non Response,613,1,2,1,0,0,0
2017,1,Non Response,613,2,2,1,0,0,0
2017,1,Non Response,613,1,2,2,0,0,0
2017,1,Non Response,613,2,2,2,0,0,0
2017,1,Non Response,621,1,2,1,0,0,0
2017,1,Non Response,621,2,2,1,0,0,0
