,SHIFT_PORT_GRP_PV,ARRIVEDEPART,WEEKDAY_END_PV,AM_PM_NIGHT_PV,MIGSI,POSS_SHIFT_CROSS,SAMP_SHIFT_CROSS,MIN_SH_WT,MEAN_SH_WT,MAX_SH_WT,COUNT_RESPS,SUM_SH_WT
88,361,1,1.0,1.0,10.0,130.0,5.0,260.0,260.0,260.0,80.0,20800.0
89,361,1,2.0,1.0,10.0,50.0,4.0,120.0,120.0,120.0,54.0,6480.0
38,361,1,,,,,9.0,120.0,260.0,,134.0,27280.0
90,361,2,1.0,1.0,10.0,130.0,5.0,260.0,260.0,260.0,160.0,41600.0
315,361,2,2.0,1.0,,50.0,0.0,,,,,
39,361,2,,,,,5.0,260.0,260.0,,160.0,41600.0
91,371,1,1.0,1.0,10.0,130.0,5.0,260.0,260.0,260.0,169.0,43940.0
92,371,1,2.0,1.0,10.0,50.0,2.0,250.0,250.0,250.0,92.0,23000.0
40,371,1,,,,,7.0,250.0,260.0,,261.0,66940.0
93,371,2,1.0,1.0,10.0,130.0,3.0,430.0,430.0,430.0,206.0,88580.0
94,371,2,2.0,1.0,10.0,50.0,1.0,500.0,500.0,500.0,41.0,20500.0
41,371,2,,,,,4.0,430.0,500.0,,247.0,109080.0
95,381,1,1.0,1.0,10.0,130.0,5.0,260.0,260.0,260.0,279.0,72540.0
96,381,1,2.0,1.0,10.0,50.0,1.0,500.0,500.0,500.0,70.0,35000.0
42,381,1,,,,,6.0,260.0,500.0,,349.0,107540.0
97,381,2,1.0,1.0,10.0,130.0,2.0,650.0,650.0,650.0,86.0,55900.0
98,381,2,2.0,1.0,10.0,50.0,2.0,250.0,250.0,250.0,168.0,42000.0
43,381,2,,,,,4.0,250.0,650.0,,254.0,97900.0
316,382,1,1.0,1.0,,130.0,0.0,,,,,
317,382,1,2.0,1.0,,50.0,0.0,,,,,
99,382,2,1.0,1.0,10.0,130.0,2.0,650.0,650.0,650.0,27.0,17550.0
100,382,2,2.0,1.0,10.0,50.0,2.0,250.0,250.0,250.0,17.0,4250.0
44,382,2,,,,,4.0,250.0,650.0,,44.0,21800.0
101,391,1,1.0,1.0,6.0,130.0,7.0,108.0,108.0,108.0,26.0,2808.0
102,391,1,1.0,1.0,10.0,130.0,7.0,180.0,180.0,180.0,294.0,52920.0
103,391,1,2.0,1.0,10.0,50.0,3.0,160.0,160.0,160.0,135.0,21600.0
45,391,1,,,,,10.0,108.0,180.0,,455.0,77328.0
104,391,2,1.0,1.0,6.0,130.0,7.0,108.0,108.0,108.0,170.0,18360.0
105,391,2,1.0,1.0,10.0,130.0,7.0,180.0,180.0,180.0,400.0,72000.0
106,391,2,2.0,1.0,10.0,50.0,3.0,160.0,160.0,160.0,296.0,47360.0
46,391,2,,,,,10.0,108.0,180.0,,866.0,137720.0
318,393,1,1.0,1.0,,130.0,0.0,,,,,
319,393,1,2.0,1.0,,50.0,0.0,,,,,
320,393,2,1.0,1.0,,130.0,0.0,,,,,
321,393,2,2.0,1.0,,50.0,0.0,,,,,
107,401,1,1.0,1.0,10.0,130.0,2.0,650.0,650.0,650.0,92.0,59800.0
108,401,1,2.0,1.0,10.0,50.0,2.0,250.0,250.0,250.0,136.0,34000.0
