,SERIAL,SPEND,SPENDIMPREASON,FARE,FAREK
221,4.10138856046e+11,,,267.0,6.0
222,4.1013885605e+11,,,,
223,4.10138856054e+11,,,113.0,6.0
224,4.10138856055e+11,,,103.0,4.0
225,4.10138856059e+11,,,188.0,3.0
226,4.10138856063e+11,1815.0,,211.0,6.0
227,4.10148310002e+11,,,103.0,4.0
228,4.10148310005e+11,,,84.0,2.0
229,4.1014831001e+11,,,188.0,3.0
230,4.10148310015e+11,,,103.0,4.0
231,4.10148310018e+11,,,103.0,4.0
232,4.10148310021e+11,,,188.0,3.0
233,4.10148310022e+11,,,103.0,4.0
234,4.10148310025e+11,,,83.0,5.0
235,4.10148310028e+11,,,38.0,5.0
236,4.10148310031e+11,,,40.0,5.0
237,4.10148310036e+11,,,135.0,5.0
238,4.10148310042e+11,,,,
239,4.10148310044e+11,,,211.0,6.0
240,4.10148310046e+11,,,59.0,4.0
241,4.10148310051e+11,,,335.0,6.0
242,4.10148310052e+11,,,335.0,6.0
243,4.10148310056e+11,,,,
244,4.10148331004e+11,,,103.0,4.0
245,4.10148331009e+11,,,151.0,5.0
246,4.1014833101e+11,515.0,,135.0,5.0
247,4.10148331015e+11,,,103.0,4.0
248,4.10148331016e+11,,,188.0,3.0
249,4.10148331021e+11,2015.0,,161.0,6.0
250,4.10148331023e+11,2015.0,,60.0,5.0
251,4.10148331026e+11,,,,
252,4.10148331028e+11,,,160.0,6.0
253,4.10148331033e+11,,,361.0,6.0
254,4.10148331036e+11,,,,
255,4.10148331039e+11,,,,
256,4.10148331042e+11,,,335.0,6.0
257,4.10148331043e+11,,,361.0,6.0
258,4.10148777001e+11,,,99.0,3.0
259,4.10148777004e+11,,,84.0,2.0
260,4.1014877701e+11,15.0,,463.0,6.0
261,4.10148777014e+11,,,103.0,4.0
262,4.10148777018e+11,,,103.0,4.0
263,4.1014877702e+11,,,335.0,6.0
264,4.10148777024e+11,,,373.0,5.0
265,4.10148777027e+11,3015.0,,85.0,5.0
266,4.10148777031e+11,,,123.0,4.0
267,4.10148777036e+11,,,,
268,4.10148777037e+11,715.0,,151.0,5.0
269,4.10148777041e+11,,,,
270,4.10148777043e+11,,,27.0,4.0
271,4.10148777047e+11,255.0,,160.0,6.0
272,4.1014877705e+11,,,47.0,5.0
273,4.10148777052e+11,,,135.0,5.0
274,4.10148777055e+11,615.0,,135.0,5.0
275,4.1014877706e+11,,,335.0,6.0
276,4.10148777061e+11,,,,
277,4.10148777064e+11,,,,
278,4.10148801002e+11,,,85.0,5.0
279,4.10148801004e+11,,,99.0,3.0
280,4.10148801008e+11,,,83.0,5.0
281,4.10148801011e+11,515.0,,463.0,6.0
282,4.10148801013e+11,,,147.0,7.0
283,4.10148801016e+11,,,,
284,4.10148840004e+11,,,83.0,5.0
285,4.10148840006e+11,,,,
286,4.10148840007e+11,,,335.0,6.0
287,4.10148840011e+11,,,188.0,3.0
288,4.10148840013e+11,,,85.0,5.0
289,4.10148840018e+11,,,,
290,4.10148840019e+11,,,,
291,4.10148840022e+11,,,38.0,5.0
292,4.10148840026e+11,,,,
293,4.10148840028e+11,,,135.0,5.0
294,4.10148840031e+11,,,47.0,5.0
295,4.10148840034e+11,,,27.0,4.0
296,4.10148840038e+11,235.0,,135.0,5.0
297,4.10148840042e+11,315.0,,141.0,7.0
298,4.10148840043e+11,,,115.0,5.0
299,4.10148840046e+11,,,115.0,5.0
300,4.10148840049e+11,,,27.0,4.0
301,4.10148840052e+11,,,128.0,5.0
302,4.10148841003e+11,,,83.0,5.0
303,4.10148841005e+11,,,188.0,3.0
304,4.10148841007e+11,,,,
305,4.10148841011e+11,,,373.0,5.0
306,4.10148841014e+11,,,188.0,3.0
307,4.10148841019e+11,,,188.0,3.0
308,4.1014884102e+11,,,188.0,3.0
309,4.10148841023e+11,,,103.0,4.0
310,4.10148841026e+11,,,,
311,4.10148841029e+11,,,,
312,4.10148841032e+11,,,123.0,4.0
313,4.10148841036e+11,,,,
314,4.10148841039e+11,1015.0,,40.0,5.0
315,4.10148841041e+11,,,211.0,6.0
316,4.10148841044e+11,,,211.0,6.0
317,4.10158310002e+11,,,80.0,4.0
318,4.10158310006e+11,,,121.0,6.0
319,4.10158310007e+11,55.0,,59.0,4.0
320,4.10158310012e+11,,,103.0,4.0
321,4.10158310013e+11,,,97.0,1.0
322,4.10158310016e+11,,,335.0,6.0
323,4.10158310019e+11,,,373.0,5.0
324,4.10158310022e+11,,,27.0,4.0
325,4.10158310025e+11,,,57.0,4.0
326,4.10158310035e+11,,,27.0,4.0
327,4.10158310037e+11,,,211.0,6.0
328,4.10158310041e+11,,,361.0,6.0
329,4.10158310043e+11,,,211.0,6.0
330,4.10158310047e+11,,,361.0,6.0
331,4.10158310049e+11,,,361.0,6.0
332,4.10158777002e+11,,,113.0,6.0
333,4.10158777005e+11,1015.0,,1016.0,6.0
334,4.10158777009e+11,,,123.0,4.0
335,4.1015877701e+11,,,373.0,5.0
336,4.10158777013e+11,1315.0,,668.0,6.0
337,4.10158777016e+11,,,47.0,5.0
338,4.10158777021e+11,,,121.0,6.0
339,4.10158777022e+11,,,113.0,6.0
340,4.10158777025e+11,,,,
341,4.10158777028e+11,,,47.0,5.0
342,4.10158777033e+11,,,60.0,5.0
343,4.10158777036e+11,,,188.0,3.0
344,4.10158777038e+11,615.0,,113.0,6.0
345,4.10158777041e+11,1165.0,,151.0,5.0
346,4.10158777043e+11,235.0,,43.0,4.0
347,4.10158777046e+11,15.0,,135.0,5.0
348,4.10158777049e+11,,,27.0,4.0
349,4.10158777052e+11,,,59.0,4.0
350,4.10158777057e+11,743.0,,251.0,6.0
351,4.10158777058e+11,,,211.0,6.0
352,4.10158777062e+11,,,361.0,6.0
353,4.10158801006e+11,,,121.0,6.0
354,4.10158801012e+11,715.0,,27.0,4.0
355,4.10158801013e+11,,,113.0,6.0
356,4.10158801017e+11,,,85.0,5.0
357,4.10158801019e+11,,,,
358,4.10158801023e+11,,,47.0,5.0
359,4.10158801025e+11,,,121.0,6.0
360,4.1015880103e+11,,,121.0,6.0
361,4.10158801033e+11,613.0,,79.0,6.0
362,4.10158801036e+11,582.0,,99.0,3.0
363,4.10158801037e+11,,,373.0,5.0
364,4.10158801041e+11,,,123.0,4.0
365,4.10158801043e+11,,,,
366,4.10158801048e+11,40.0,,31.0,3.0
367,4.10158801049e+11,587.0,,59.0,4.0
368,4.10158801052e+11,890.0,,335.0,6.0
369,4.10158801057e+11,,,,
370,4.10158801058e+11,,,361.0,6.0
371,4.10158801061e+11,,,211.0,6.0
372,4.10158801064e+11,,,211.0,6.0
373,4.10158840004e+11,,,113.0,6.0
374,4.10158840007e+11,,,121.0,6.0
375,4.1015884001e+11,,,59.0,4.0
376,4.10158840013e+11,,,113.0,6.0
377,4.10158840016e+11,,,85.0,5.0
378,4.10158840018e+11,,,,
379,4.1015884002e+11,,,85.0,5.0
380,4.10158840023e+11,,,47.0,5.0
381,4.10158840026e+11,,,,
382,4.1015884003e+11,,,59.0,4.0
383,4.10158840031e+11,,,113.0,6.0
384,4.10158840037e+11,355.0,,57.0,4.0
385,4.10158840041e+11,,,188.0,3.0
386,4.10158840043e+11,,,84.0,2.0
387,4.10158840046e+11,,,96.0,6.0
388,4.1015884005e+11,,,115.0,5.0
389,4.10158840057e+11,315.0,,135.0,5.0
390,4.10158840058e+11,,,373.0,5.0
391,4.10158840061e+11,,,211.0,6.0
392,4.10158840065e+11,,,361.0,6.0
393,4.10158856003e+11,,,97.0,3.0
394,4.10158856004e+11,,,,
395,4.10158856008e+11,515.0,,59.0,4.0
396,4.10158856013e+11,,,373.0,5.0
397,4.10158856017e+11,,,211.0,6.0
398,4.10158856019e+11,,,361.0,6.0
399,4.10158856024e+11,,,123.0,4.0
400,4.10158856025e+11,,,84.0,2.0
401,4.10158856028e+11,,,47.0,5.0
402,4.10158856036e+11,,,,
403,4.10158856037e+11,,,60.0,5.0
404,4.10158856042e+11,,,335.0,6.0
405,4.10158856045e+11,182.0,,59.0,4.0
406,4.10158856048e+11,,,211.0,6.0
407,4.10200000006e+11,352.0,,10.0,
408,4.10200000009e+11,395.0,,176.0,
409,4.10200000011e+11,,,69.0,7.0
410,4.10200000028e+11,,,90.0,1.0
411,4.10200000032e+11,0.0,,25.0,
412,4.10200000045e+11,0.0,,150.0,
413,4.1020000005e+11,430.0,,20.0,
414,4.10200000055e+11,,,33.0,1.0
415,4.10200000056e+11,135.0,,55.0,
416,4.10208310002e+11,,,33.0,1.0
417,4.10208310005e+11,,,32.0,0.0
418,4.10208310008e+11,700.0,,94.0,
419,4.10208310014e+11,265.0,,85.0,
420,4.10208310017e+11,484.0,,70.0,
421,4.10208310031e+11,,,50.0,5.0
422,4.10208310034e+11,,,30.0,3.0
423,4.10208310037e+11,,,32.0,0.0
424,4.1020831004e+11,,,39.0,3.0
425,4.10208310044e+11,,,65.0,3.0
426,4.10208310048e+11,400.0,,60.0,
427,4.10208310051e+11,590.0,,149.0,7.0
428,4.10208310054e+11,280.0,,25.0,
429,4.10208777012e+11,150.0,,34.0,
430,4.10208777015e+11,,,74.0,0.0
431,4.10208777018e+11,282.0,,100.0,
432,4.10208777024e+11,88.0,,30.0,
433,4.1020877703e+11,,,50.0,5.0
434,4.10208777033e+11,,,47.0,3.0
435,4.10208777035e+11,760.0,,35.0,
436,4.10208777038e+11,44.0,,25.0,
437,4.10208777049e+11,264.0,,125.0,
438,4.10208777052e+11,200.0,,38.0,
439,4.10208801003e+11,,,32.0,0.0
440,4.10208801007e+11,176.0,,28.0,
441,4.1020880101e+11,,,,
442,4.10208801021e+11,,,50.0,5.0
443,4.10208801022e+11,,,,
444,4.10208801025e+11,,,50.0,4.0
445,4.10208801027e+11,484.0,,50.0,
446,4.10208801029e+11,,,,
447,4.10208801042e+11,,,39.0,3.0
448,4.10208801043e+11,,,50.0,5.0
449,4.10208801046e+11,440.0,,70.0,
450,4.10208801047e+11,,,65.0,3.0
451,4.10208856001e+11,,,32.0,0.0
452,4.10208856004e+11,,,33.0,1.0
453,4.10208856013e+11,,,55.0,7.0
454,4.10208856016e+11,176.0,,40.0,
455,4.10208856019e+11,528.0,,85.0,
456,4.1020885602e+11,,,,
457,4.10208856023e+11,,,49.0,3.0
458,4.10208856026e+11,,,47.0,3.0
459,4.10208856036e+11,,,32.0,0.0
460,4.10208856039e+11,79.0,,130.0,
461,4.10208856041e+11,,,52.0,3.0
462,4.10208856053e+11,,,46.0,1.0
463,4.10210000007e+11,260.0,,19.0,
464,4.10210000009e+11,,,30.0,
465,4.10210000019e+11,,,33.0,1.0
