,SERIAL,SHIFT_WT
2690,11023089,160.0
2691,11023090,160.0
2692,11023091,160.0
2693,11023092,160.0
2694,11023093,160.0
2695,11023094,160.0
2696,11023095,160.0
2697,11023096,160.0
2698,11023097,160.0
2699,11023098,160.0
2700,11023099,160.0
2701,11023100,160.0
2702,11023101,160.0
2703,11023102,160.0
2704,11023103,160.0
2705,11023104,160.0
2706,11023105,160.0
2707,11023106,160.0
2708,11023107,160.0
2709,11023108,160.0
2710,11023109,160.0
2711,11023110,160.0
2712,11023111,160.0
2713,11023112,160.0
2714,11023113,160.0
2715,11023114,160.0
2716,11023115,160.0
2717,11023116,160.0
2718,11023117,160.0
2719,11023118,160.0
2720,11023119,160.0
2721,11023120,160.0
2722,11023121,160.0
2723,11023122,160.0
70,11024001,360.0
71,11024002,360.0
72,11024003,360.0
73,11024004,360.0
74,11024005,360.0
75,11024006,360.0
76,11024007,360.0
77,11024008,360.0
78,11024009,360.0
79,11024010,360.0
80,11024011,360.0
81,11024012,360.0
82,11024013,360.0
83,11024014,360.0
84,11024015,360.0
85,11024016,360.0
86,11024017,360.0
87,11024018,360.0
88,11024019,360.0
89,11024020,360.0
90,11024021,360.0
91,11024022,360.0
92,11024023,360.0
93,11024024,360.0
94,11024025,360.0
95,11024026,360.0
96,11024027,360.0
97,11024028,360.0
98,11024029,360.0
99,11024030,360.0
100,11024031,360.0
101,11024032,360.0
102,11024033,360.0
103,11024034,360.0
104,11024035,360.0
105,11024036,360.0
106,11024037,360.0
107,11024038,360.0
108,11024039,360.0
109,11024040,360.0
110,11024041,360.0
111,11024042,360.0
112,11024043,360.0
113,11024044,360.0
114,11024045,360.0
115,11024046,360.0
116,11024047,360.0
117,11024048,360.0
118,11024049,360.0
119,11024050,360.0
120,11024051,360.0
121,11024052,360.0
122,11024053,360.0
123,11024054,360.0
124,11024055,360.0
125,11024056,360.0
126,11024057,360.0
127,11024058,360.0
128,11024059,360.0
129,11024060,360.0
130,11024061,360.0
131,11024062,360.0
132,11024063,360.0
133,11024064,360.0
134,11024065,360.0
135,11024066,360.0
136,11024067,360.0
137,11024068,360.0
138,11024069,360.0
139,11024070,360.0
140,11024071,360.0
141,11024072,360.0
142,11024073,360.0
143,11024074,360.0
144,11024075,360.0
145,11024076,360.0
146,11024077,360.0
147,11024078,360.0
148,11024079,360.0
149,11024080,360.0
150,11024081,360.0
151,11024082,360.0
152,11024083,360.0
153,11024084,360.0
154,11024085,360.0
155,11024086,360.0
156,11024087,360.0
157,11024088,360.0
158,11024089,360.0
159,11024090,360.0
160,11024091,360.0
161,11024092,360.0
162,11024093,360.0
163,11024094,360.0
164,11024095,360.0
165,11024096,360.0
166,11024097,360.0
167,11024098,360.0
168,11024099,360.0
169,11024100,360.0
170,11024101,360.0
171,11024102,360.0
172,11024103,360.0
173,11024104,360.0
174,11024105,360.0
175,11024106,360.0
176,11024107,360.0
177,11024108,360.0
178,11024109,360.0
179,11024110,360.0
180,11024111,360.0
181,11024112,360.0
182,11025001,360.0
183,11025002,360.0
184,11025003,360.0
185,11025004,360.0
186,11025005,360.0
187,11025006,360.0
188,11025007,360.0
189,11025008,360.0
190,11025009,360.0
191,11025010,360.0
192,11025011,360.0
193,11025012,360.0
194,11025013,360.0
195,11025014,360.0
196,11025015,360.0
197,11025016,360.0
198,11025017,360.0
199,11025018,360.0
200,11025019,360.0
201,11025020,360.0
202,11025021,360.0
203,11025022,360.0
204,11025023,360.0
205,11025024,360.0
206,11025025,360.0
207,11025026,360.0
208,11025027,360.0
209,11025028,360.0
210,11025029,360.0
211,11025030,360.0
212,11025031,360.0
213,11025032,360.0
214,11025033,360.0
215,11025034,360.0
216,11025035,360.0
217,11025036,360.0
218,11025037,360.0
219,11025038,360.0
220,11025039,360.0
221,11025040,360.0
222,11025041,360.0
223,11025042,360.0
224,11025043,360.0
225,11025044,360.0
226,11025045,360.0
227,11025046,360.0
228,11025047,360.0
229,11025048,360.0
230,11025049,360.0
231,11025050,360.0
